subject,t,depth,hrf
sub-001,4.305,2,1.6517100966332105e-05
sub-001,4.41,2,2.4968789706745704e-05
sub-001,4.515,2,3.713172077270168e-05
sub-001,4.62,2,5.435353243701772e-05
sub-001,4.725,2,7.841834711813542e-05
sub-001,4.83,2,0.00011168410085315766
sub-001,4.935,2,0.00015714660224921904
sub-001,5.04,2,0.00021849838911602255
sub-001,5.145,2,0.0003002908946045641
sub-001,5.25,2,0.0004081363279114605
sub-001,5.3549999999999995,2,0.0005490122546804436
sub-001,5.46,2,0.0007313906834643304
sub-001,5.5649999999999995,2,0.0009653306780439997
sub-001,5.67,2,0.0012627992494834773
sub-001,5.7749999999999995,2,0.0016384949439869605
sub-001,5.88,2,0.0021116538553143426
sub-001,5.984999999999999,2,0.002707652185847462
sub-001,6.09,2,0.003459376944989449
sub-001,6.194999999999999,2,0.004407568616174474
sub-001,6.3,2,0.005600639105603834
sub-001,6.404999999999999,2,0.007094811775769535
sub-001,6.51,2,0.008954119144329725
sub-001,6.614999999999999,2,0.011250603393508257
sub-001,6.72,2,0.014064207213951841
sub-001,6.825,2,0.01748271194884625
sub-001,6.93,2,0.021600661124713504
sub-001,7.035,2,0.026517200069315402
sub-001,7.14,2,0.03233333327161406
sub-001,7.245,2,0.03914931336765282
